PK,AGE,GENDER,RACE,INCIDENTNEIGHBORHOOD,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION
1999218,26,M,W,Knoxville,,
1999219,40,M,B,Bloomfield,8,2
1999220,34,M,B,Bon Air,2,5
1999221,31,F,B,Homewood South,9,2
1999222,53,M,B,South Shore,2,5
1999223,25,F,B,Strip District,7,6
1999224,30,M,B,Middle Hill,6,3
1999225,25,F,B,Strip District,7,6
1999226,43,M,W,Allegheny West,1,1
1999227,39,F,W,Esplen,2,5
1999228,36,F,W,South Side Flats,,
1999229,20,M,B,Central Oakland,3,3
1999230,25,M,W,Knoxville,3,5
1999231,34,M,B,Beechview,4,5
1999232,21,M,U,South Side Flats,3,3
1999233,28,M,B,Homewood North,9,2
1999234,37,M,B,Carrick,4,3
1999235,20,M,B,Bedford Dwellings,6,3
1999236,34,M,B,Lincoln-Lemington-Belmar,9,2
1999237,26,M,B,Hazelwood,5,3
1999238,27,F,B,Hazelwood,5,3
1999239,54,M,B,Knoxville,,
1999240,28,M,B,Lincoln-Lemington-Belmar,9,2
1999241,50,F,W,Central North Side,1,1
1999242,32,F,W,Hazelwood,5,3
1999243,30,M,B,Beltzhoover,3,5
1999244,29,M,B,Polish Hill,6,3
1999245,62,M,B,Central Business District,6,6
1999246,32,M,W,Bloomfield,7,2
1999247,38,F,W,Brighton Heights,1,1
1999248,41,M,W,Beechview,4,5
1999249,22,M,B,East Hills,9,2
1999250,27,M,B,Central Business District,6,6
1999251,28,M,B,Outside City,,
1999252,42,M,B,,,
1999253,26,M,B,Fineview,6,1
1999254,29,M,W,Central Lawrenceville,7,2
1999255,30,F,B,Homewood South,9,2
1999256,25,M,B,Homewood South,9,2
1999257,42,M,W,Bluff,6,3
1999258,28,M,B,Marshall-Shadeland,1,1
1999259,30,M,W,,,
1999260,26,F,B,Squirrel Hill South,5,3
1999261,23,M,W,Allentown,3,5
1999262,25,F,B,Sheraden,2,5
1999263,58,M,W,Perry South,6,1
1999264,32,F,W,Central Business District,6,6
1999265,58,M,W,South Side Flats,3,3
1999266,22,F,B,East Hills,9,2
1999267,21,M,W,Carrick,4,3
1999268,46,F,B,East Hills,9,2
1999269,26,M,B,Perry South,6,1
1999270,26,M,B,Perry South,6,1
1999271,31,M,B,Northview Heights,1,1
1999275,53,M,B,Central Business District,6,3
1999276,41,M,B,Perry North,1,1
1999277,30,M,W,South Side Flats,3,3
1999278,31,M,B,Carrick,4,3
1999279,31,M,B,,,
1999280,29,M,W,Summer Hill,1,1
1999281,44,M,B,Manchester,6,1
1999282,20,M,B,Sheraden,2,5
1999283,37,M,W,Marshall-Shadeland,1,1
1999284,21,M,B,Bedford Dwellings,6,3
1999285,31,M,W,Mount Washington,4,5
1999286,30,M,W,Regent Square,9,3
1999287,29,F,B,,,
1999288,35,M,B,,,
1999289,19,M,W,,,
1999290,31,F,B,Upper Hill,6,3
1999291,41,M,W,Mount Washington,2,5
1999292,30,F,W,Mount Washington,2,5
1999293,51,M,W,East Allegheny,1,1
1999294,19,F,W,South Side Flats,3,3
1999295,41,M,W,East Allegheny,1,1
1999296,24,M,B,Glen Hazel,5,3
1999297,24,M,B,South Side Slopes,3,3
1999298,24,M,B,Troy Hill,1,1
1999299,33,F,B,Upper Hill,6,3
1999300,37,M,B,Upper Hill,6,3
1999301,34,M,W,East Liberty,7,2
1999302,34,M,W,East Liberty,7,2
1999303,60,M,B,Manchester,6,1
1999304,24,M,B,Perry North,1,1
1999305,46,F,W,Brookline,4,5
1999306,24,M,B,Perry North,1,1
1999307,41,M,B,Sheraden,2,5
1999308,26,M,B,Carrick,4,5
1999309,38,F,B,Sheraden,2,5
1999310,26,F,B,Point Breeze,9,3
1999311,18,F,B,Carrick,4,3
1999312,22,F,B,,,
1999313,51,M,W,Carrick,4,3
1999314,18,M,B,Larimer,9,2
1999315,24,M,B,Homewood South,9,2
1999316,54,M,B,Marshall-Shadeland,1,1
1999317,26,M,W,South Side Flats,3,3
1999318,40,M,B,Brighton Heights,1,1
1999319,39,M,B,Knoxville,3,5
1999320,33,M,B,Carrick,4,3
1999321,33,M,A,Swisshelm Park,5,3
1999322,48,M,W,Perry South,6,1
1999323,24,F,B,East Hills,9,2
1999324,30,M,W,Carrick,3,5
1999335,19,M,B,Chateau,6,1
1999336,19,F,B,Chateau,6,1
1999337,,M,B,Homewood North,9,2
1999338,50,M,B,Homewood North,9,2
1999339,65,M,B,Shadyside,7,2
1999340,26,M,B,Homewood South,9,2
1999341,29,F,B,Homewood South,9,2
1999342,27,F,W,Homewood South,9,2
1999343,38,M,W,Polish Hill,7,6
1999344,50,M,B,Shadyside,7,2
1999345,34,M,W,Troy Hill,1,1
1999346,20,M,B,Crawford-Roberts,6,3
1999347,40,M,B,California-Kirkbride,6,1
1999348,48,F,W,Outside City,,
1999349,63,M,B,Shadyside,7,2
1999350,35,M,B,Hazelwood,5,3
1999351,18,M,B,Sheraden,2,5
1999352,26,M,B,Hazelwood,5,3
1999353,26,M,W,Spring Garden,1,1
1999354,66,M,B,Shadyside,8,2
1999355,34,F,B,Bloomfield,7,2
1999356,35,M,W,South Oakland,,
1999357,46,F,W,Banksville,2,5
1999358,48,M,W,Elliott,2,5
1999375,19,M,W,Beltzhoover,3,5
1999376,18,M,W,Beltzhoover,3,5
1999377,23,M,B,Knoxville,,
1999378,39,M,B,Fairywood,2,5
1999379,40,M,B,East Allegheny,1,1
1999380,54,F,W,Bon Air,3,5
1999381,49,M,B,Homewood West,9,2
1999382,27,M,B,Allentown,3,5
1999383,19,M,B,Central Business District,6,6
1999384,20,M,B,Central Business District,6,6
1999385,22,F,B,Hazelwood,5,3
1999386,56,M,W,East Allegheny,1,1
1999395,27,M,W,Mount Washington,2,5
1999396,34,M,B,Bluff,6,3
1999397,27,M,B,Spring Hill-City View,1,1
1999398,52,M,W,Mount Washington,3,5
1999399,23,M,B,Glen Hazel,5,3
1999400,19,M,B,Glen Hazel,5,3
1999401,24,F,W,Marshall-Shadeland,1,1
1999402,26,F,B,Greenfield,5,3
1999403,62,M,B,Shadyside,8,2
1999404,30,M,W,Central Lawrenceville,7,2
1999405,31,M,W,Carrick,4,3
1999406,31,M,W,Outside City,,
1999407,31,M,W,Chateau,,
1999408,67,M,W,Allentown,3,5
1999409,26,M,W,South Side Flats,3,3
1999410,57,F,W,Elliott,2,5
1999411,57,M,W,Elliott,2,5
1999412,38,M,B,East Hills,9,2
1999413,24,M,U,Central Oakland,3,3
1999414,23,M,W,Central Oakland,3,3
1999415,25,M,B,Central Oakland,3,3
1999416,24,M,B,Central Oakland,3,3
1999417,20,M,B,Central Oakland,3,3
1999418,55,M,W,Allegheny Center,1,1
1999419,53,F,B,Central Business District,6,6
1999420,33,M,W,Strip District,1,6
1999421,38,F,B,Larimer,9,2
1999422,14,M,B,Overbrook,4,5
1999423,20,F,B,Point Breeze North,9,3
1999424,30,M,W,Perry North,1,1
1999425,46,M,B,Homewood South,9,2
1999426,36,M,W,Carrick,4,3
1999427,20,F,B,Middle Hill,6,3
1999428,40,F,W,Central Lawrenceville,7,2
1999429,46,M,W,Central Lawrenceville,7,2
1999430,35,M,W,Larimer,9,2
1999431,21,M,B,South Oakland,3,3
1999432,20,F,B,Arlington,3,3
1999433,27,F,W,Beechview,4,5
1999434,23,M,W,West End,2,5
1999435,36,M,W,Carrick,4,3
1999436,34,F,B,Arlington Heights,3,3
1999437,17,M,B,Brookline,4,5
1999438,17,M,B,Brookline,4,5
1999439,20,M,H,Strip District,7,6
1999440,30,F,B,South Side Flats,3,3
1999441,42,M,B,Perry South,6,1
1999455,36,F,W,Bloomfield,7,2
1999456,18,M,B,Homewood North,9,2
1999457,23,M,B,Homewood North,9,2
1999458,19,M,B,Homewood North,9,2
1999459,43,M,W,Central Business District,6,6
1999460,27,M,B,Manchester,1,1
1999461,31,M,W,Central Business District,6,6
1999462,51,F,B,Central Business District,6,6
1999463,54,F,W,Allentown,3,5
1999464,58,M,W,Shadyside,8,2
1999465,29,F,B,Spring Garden,4,5
1999466,20,M,O,Central Business District,6,6
1999467,24,M,B,East Allegheny,1,1
1999468,58,M,W,Mount Washington,2,5
1999469,30,M,B,Central Business District,6,3
1999470,23,M,B,Middle Hill,6,3
1999471,28,M,B,Squirrel Hill South,5,3
1999472,51,F,B,Crawford-Roberts,6,3
1999473,42,M,W,Mount Washington,2,5
1999474,28,F,B,Fineview,6,1
1999475,57,M,B,Central Business District,6,6
1999476,59,M,B,Central Business District,6,6
1999477,57,M,B,Central Business District,6,6
1999478,23,M,A,Carrick,4,3
1999479,60,M,W,West End,7,2
1999480,18,M,B,Squirrel Hill South,5,3
1999481,33,M,W,Mount Washington,2,5
1999482,33,F,B,Carrick,4,3
1999483,44,F,B,Chateau,6,1
1999484,32,F,W,Central Business District,6,6
1999485,32,F,B,Knoxville,3,5
1999486,21,M,B,Perry South,6,1
1999487,34,M,B,South Side Slopes,3,3
1999488,42,M,W,East Allegheny,1,1
1999489,34,M,W,Squirrel Hill South,5,3
1999490,28,M,W,Mount Washington,2,5
1999491,38,M,B,East Allegheny,1,1
1999492,34,U,B,Upper Lawrenceville,7,2
1999493,29,M,B,Upper Lawrenceville,7,2
1999494,18,F,B,Beechview,4,5
1999495,49,M,W,North Shore,1,1
1999496,22,M,B,,,
1999497,32,F,W,East Allegheny,1,1
1999498,36,M,B,Beltzhoover,3,5
1999499,23,M,B,Hazelwood,5,3
1999500,26,M,B,Carrick,4,3
1999501,28,M,W,,,
1999502,28,F,W,,,
1999503,19,M,B,East Hills,9,2
1999504,25,M,W,Carrick,4,3
1999505,54,M,B,Bluff,6,3
1999506,40,M,B,Carrick,4,3
1999507,46,M,W,Central Lawrenceville,7,2
1999515,31,M,B,Homewood South,9,2
1999516,20,F,B,Knoxville,,
1999517,50,M,B,Central Business District,6,6
1999518,58,M,W,Brookline,4,5
1999519,27,M,W,Fineview,6,1
1999520,18,M,B,Allentown,3,5
1999521,29,M,B,Perry South,1,1
1999522,21,M,B,Perry South,1,1
1999523,25,M,B,Mount Washington,2,5
1999524,19,M,B,Mount Washington,2,5
1999525,21,M,B,Mount Washington,2,5
1999526,43,M,B,Perry North,1,1
1999527,39,M,B,Lincoln-Lemington-Belmar,9,2
1999528,37,M,W,South Side Flats,3,3
1999529,37,M,B,Middle Hill,6,3
1999530,46,F,W,Mount Washington,4,5
1999531,43,F,B,Homewood North,9,2
1999532,32,F,W,Manchester,6,1
1999533,25,M,B,Polish Hill,7,6
1999534,34,M,W,Marshall-Shadeland,1,1
1999535,26,M,O,Brookline,4,5
1999536,30,F,B,Northview Heights,1,1
1999537,34,M,B,South Side Flats,3,3
1999538,25,M,B,Chateau,,
1999539,52,M,W,Homewood South,9,2
1999540,22,F,W,Mount Washington,2,5
1999541,33,M,H,South Oakland,3,3
1999542,22,M,W,South Side Flats,3,3
1999543,29,M,W,Central Business District,6,6
1999544,20,M,B,Homewood North,9,2
1999545,21,F,W,South Side Flats,3,3
1999546,18,M,B,Marshall-Shadeland,1,1
1999547,34,M,W,East Carnegie,2,5
1999548,18,F,A,Squirrel Hill North,8,3
1999549,32,M,W,Bluff,,
1999550,27,M,B,Homewood South,9,2
1999551,38,M,B,Bluff,6,3
1999552,20,M,B,Sheraden,2,5
1999555,28,M,B,Knoxville,,
1999556,31,M,W,Mount Washington,3,5
1999557,50,M,B,Knoxville,3,5
1999558,33,M,B,East Allegheny,1,1
1999559,24,M,B,Stanton Heights,7,2
1999560,59,F,B,Central Business District,9,2
1999561,51,F,W,Beechview,4,5
1999562,24,M,B,Carrick,4,3
1999563,25,F,B,Northview Heights,1,1
1999564,19,M,B,Fineview,6,1
1999565,21,F,B,South Side Flats,3,3
1999566,21,F,B,South Side Flats,3,3
1999567,19,M,H,Spring Hill-City View,1,1
1999568,24,M,W,Highland Park,9,2
1999569,22,F,W,Sheraden,2,5
1999570,52,M,B,Bluff,6,3
1999571,52,M,W,South Side Slopes,3,3
1999572,29,M,W,Allegheny Center,1,1
1999573,34,F,B,Chartiers City,2,5
1999574,28,M,W,Beltzhoover,3,5
1999575,52,M,W,Outside City,,
1999576,34,M,W,Greenfield,5,3
1999577,43,M,W,Beltzhoover,3,5
1999578,37,M,B,East Liberty,9,2
1999579,49,M,B,Central Business District,6,6
1999580,34,M,B,Mount Washington,2,5
1999581,28,M,B,North Shore,1,6
1999582,40,M,O,Mount Washington,2,5
1999583,24,M,B,Central North Side,6,1
1999584,30,F,W,Allegheny Center,1,1
1999595,20,M,B,South Side Flats,3,3
1999596,29,M,B,Homewood North,9,2
1999597,29,F,B,Homewood North,9,2
1999598,38,M,W,Brookline,4,5
1999599,31,M,H,Central Business District,6,6
1999600,23,F,B,Elliott,2,5
1999601,30,M,B,Homewood South,9,2
1999602,36,M,B,Beltzhoover,3,5
1999603,25,F,W,,,
1999604,26,F,B,East Liberty,9,2
1999605,19,M,B,Point Breeze North,8,3
1999606,19,M,B,Point Breeze North,8,3
1999607,20,F,B,Marshall-Shadeland,1,1
1999608,57,M,B,Mount Washington,2,5
1999609,23,F,W,Squirrel Hill South,5,3
1999610,32,M,W,Central Business District,3,3
1999611,35,M,W,South Side Flats,3,3
1999612,27,M,W,Central Business District,6,6
1999613,43,M,B,Marshall-Shadeland,1,1
1999614,23,F,W,South Side Slopes,3,5
1999615,46,M,B,Homewood North,9,2
1999616,24,M,B,Homewood South,9,2
1999617,50,M,B,Beechview,4,5
1999618,31,F,W,Perry South,6,1
1999619,40,M,W,Central North Side,6,1
1999620,23,F,B,Mount Washington,2,5
1999621,49,M,W,Marshall-Shadeland,1,1
1999622,19,M,O,Westwood,2,5
1999623,21,F,B,,,
1999624,31,M,B,Mount Washington,2,5
1999625,37,M,B,Strip District,7,6
1999635,41,M,B,Beltzhoover,3,5
1999636,23,F,B,,,
1999637,27,M,B,,,
1999655,48,M,B,Homewood North,9,2
1999656,48,M,B,Middle Hill,6,3
1999657,23,M,B,Homewood South,9,2
1999658,22,M,B,Homewood South,9,2
1999659,40,M,W,Lincoln-Lemington-Belmar,9,2
1999660,25,F,B,Beechview,4,5
1999661,41,F,B,Beltzhoover,3,5
1999662,53,M,B,South Side Slopes,,
1999663,30,M,W,Central Business District,6,6
1999664,34,F,B,Central Business District,6,3
1999665,50,M,B,Knoxville,3,5
1999666,45,M,B,Hazelwood,5,3
1999667,37,M,W,Manchester,6,1
1999668,36,M,B,East Hills,9,2
1999669,36,M,B,Central Business District,6,6
1999670,39,M,W,Mount Washington,3,5
1999671,28,M,B,Lincoln-Lemington-Belmar,9,2
1999672,23,F,B,Esplen,2,5
1999673,52,M,W,Marshall-Shadeland,1,1
1999674,26,M,B,Bedford Dwellings,6,3
1999675,32,F,B,Homewood South,9,2
1999676,25,F,B,Northview Heights,1,1
1999677,20,M,B,Shadyside,9,2
1999678,20,F,B,Point Breeze,9,3
1999679,28,F,B,Central Business District,6,6
1999680,43,F,B,Central Business District,6,6
1999681,28,F,B,South Side Slopes,3,5
1999682,30,F,W,East Allegheny,1,1
1999683,33,M,W,Squirrel Hill South,5,3
1999684,26,F,B,Lower Lawrenceville,6,3
1999685,20,M,U,Arlington,3,3
1999686,30,M,W,Arlington,3,3
1999687,31,F,W,Brighton Heights,1,1
1999688,27,M,W,South Side Flats,2,5
1999689,54,F,W,Crawford-Roberts,6,3
1999690,33,M,W,East Allegheny,1,1
1999691,26,F,B,California-Kirkbride,6,1
1999692,32,M,W,Morningside,7,2
1999693,30,M,W,Carrick,4,3
1999694,36,F,W,Middle Hill,6,3
1999695,30,M,W,Regent Square,5,3
1999696,43,M,B,Allegheny Center,1,1
1999697,47,F,B,Hazelwood,5,3
1999698,26,M,W,Central North Side,1,1
1999699,61,M,B,Central North Side,6,1
1999700,32,F,W,California-Kirkbride,6,1
1999701,32,M,B,Middle Hill,6,3
1999702,27,M,B,Strip District,7,6
1999703,49,F,B,Homewood North,,
1999704,63,M,B,Lincoln-Lemington-Belmar,9,2
1999705,30,M,W,South Side Flats,3,3
1999706,38,M,W,Manchester,6,1
1999707,55,M,B,North Oakland,6,3
1999708,33,M,W,North Shore,1,6
1999715,15,M,B,Marshall-Shadeland,1,1
1999716,30,M,B,West Oakland,6,3
1999717,30,M,W,Central Business District,6,6
1999718,27,M,W,Crafton Heights,2,5
1999719,28,M,W,Middle Hill,6,3
1999720,39,M,B,North Shore,,
1999721,31,F,B,Homewood North,9,2
1999722,32,M,W,Greenfield,5,3
1999723,63,M,B,Allegheny Center,1,1
1999724,38,F,B,East Allegheny,1,1
1999725,19,M,B,Fineview,6,1
1999726,53,F,B,East Allegheny,1,1
1999727,30,M,W,South Side Flats,3,3
1999728,54,M,W,Mount Washington,2,5
1999729,37,F,B,South Side Slopes,3,3
1999730,31,M,B,South Side Slopes,3,3
1999731,57,M,W,Shadyside,8,2
1999732,29,M,B,Sheraden,2,5
1999733,28,M,B,Homewood North,9,2
1999734,14,M,B,Homewood South,9,3
1999735,16,M,B,Carrick,4,3
1999736,14,M,B,,,
1999737,17,F,B,Carrick,4,3
1999738,11,F,B,Mount Oliver,3,3
1999739,16,F,B,Squirrel Hill South,5,3
1999740,17,M,B,Squirrel Hill South,5,3
1999741,15,F,B,Homewood West,9,2
1999742,35,M,W,Central Business District,6,6
1999743,22,M,W,Polish Hill,7,6
1999744,34,M,W,Squirrel Hill South,5,3
1999745,22,M,W,North Shore,1,1
1999746,27,M,B,Central North Side,1,1
1999747,26,M,B,Central North Side,1,1
1999748,21,M,B,Fineview,6,1
1999749,51,M,W,Carrick,4,3
1999750,37,M,B,Perry South,1,1
1999751,68,M,B,Terrace Village,6,3
1999752,63,M,B,Shadyside,8,2
1999753,19,F,B,Homewood North,9,2
1999754,22,F,B,Homewood North,9,2
1999755,24,M,W,Central Business District,6,6
1999775,36,F,B,Central North Side,1,1
1999776,33,M,B,Central North Side,1,1
1999777,14,M,B,Perry North,1,1
1999778,16,M,B,Perry North,1,1
1999779,16,M,B,Perry North,1,1
1999780,16,M,B,Perry North,1,1
1999781,17,M,B,Perry North,1,1
1999782,11,M,B,Point Breeze,5,3
1999783,20,F,B,Knoxville,3,5
1999784,17,F,B,Knoxville,3,5
1999785,14,M,B,Carrick,4,3
1999786,15,M,W,Mount Washington,3,5
1999787,15,F,B,Glen Hazel,5,3
1999788,14,F,B,,,
1999789,15,F,B,Squirrel Hill South,5,3
1999790,16,F,B,Squirrel Hill South,5,3
1999791,,F,B,Perry North,1,1
1999792,14,F,B,Squirrel Hill South,5,3
1999793,13,F,B,Marshall-Shadeland,6,1
1999794,16,M,B,,,
1999795,19,F,O,North Shore,1,1
1999796,22,M,W,North Shore,1,1
1999797,35,M,B,Beltzhoover,3,5
1999798,15,M,B,Marshall-Shadeland,1,1
1999799,20,M,B,East Hills,9,2
1999800,25,M,W,Carrick,4,3
1999801,19,M,B,South Side Flats,3,3
1999802,18,F,B,South Side Flats,3,3
1999803,26,F,B,South Side Flats,3,3
1999804,33,F,B,South Side Flats,3,3
1999805,45,M,W,Greenfield,5,3
1999806,21,F,B,Central Business District,6,6
1999807,48,M,B,Central Business District,6,6
1999808,33,F,W,South Side Flats,3,3
1999809,65,M,W,Highland Park,7,2
1999810,31,M,W,North Shore,,
1999811,23,M,B,Bedford Dwellings,6,3
1999812,33,M,W,North Oakland,8,3
1999813,47,F,B,Hazelwood,5,3
1999814,19,M,B,Hazelwood,5,3
1999815,28,M,B,Sheraden,2,5
1999835,18,M,B,Beechview,4,5
1999836,27,M,W,South Side Flats,3,3
1999837,25,M,B,Garfield,9,2
1999838,19,M,B,Homewood South,9,2
1999839,25,M,B,Troy Hill,1,1
1999840,51,M,B,East Hills,9,2
1999855,26,M,W,South Side Flats,3,3
1999856,35,M,W,Allegheny Center,1,1
1999857,52,M,W,Carrick,4,3
1999858,48,F,W,Allentown,3,5
1999859,29,F,W,Perry South,6,1
1999860,24,M,W,Central Lawrenceville,7,2
1999861,47,M,W,Elliott,2,5
1999862,35,M,B,Northview Heights,1,1
1999863,29,M,B,Arlington,3,3
1999864,29,F,B,Northview Heights,1,1
1999865,25,F,B,Carrick,4,3
1999866,20,M,B,East Hills,9,2
1999867,25,F,W,Mount Washington,2,5
1999868,45,M,B,Larimer,9,2
1999869,59,M,W,Lower Lawrenceville,7,2
1999870,19,M,B,Knoxville,3,5
1999871,45,F,W,South Side Slopes,3,3
1999872,38,M,W,Arlington,,
1999873,24,M,B,Carrick,4,3
1999875,26,M,B,North Oakland,6,3
1999876,32,M,B,,,
1999877,19,M,B,Allegheny Center,1,1
1999878,27,M,B,Crafton Heights,2,5
1999879,48,M,B,Mount Washington,,
1999880,20,M,W,Carrick,4,3
1999881,37,M,W,Beechview,4,5
1999882,23,M,B,Central Business District,6,6
1999883,26,F,B,Shadyside,8,2
1999884,28,M,B,North Oakland,6,3
1999885,32,F,A,Friendship,7,2
1999886,17,M,B,Upper Hill,6,3
1999887,15,F,B,Homewood West,9,2
1999888,13,F,B,Homewood West,9,2
1999889,16,M,B,Homewood West,9,2
1999890,16,M,B,Marshall-Shadeland,6,1
1999891,13,M,B,Brighton Heights,1,1
1999892,14,F,B,Brighton Heights,1,1
1999893,13,F,B,East Liberty,8,2
1999894,16,F,B,East Liberty,8,2
1999895,12,M,B,Homewood West,9,2
1999896,12,M,B,Homewood West,9,2
1999897,13,M,B,Marshall-Shadeland,6,1
1999915,20,M,B,Lincoln-Lemington-Belmar,9,2
1999916,32,F,W,Beechview,4,5
1999917,41,M,W,Beechview,4,5
1999918,35,M,W,Point Breeze,9,3
1999935,14,F,B,Marshall-Shadeland,6,1
1999936,19,M,B,Central Business District,6,6
1999937,16,M,B,Perry North,1,1
1999938,16,F,B,Perry North,1,1
1999939,15,M,B,Perry North,1,1
1999940,16,M,B,Upper Hill,6,3
1999941,17,M,W,,,
1999942,12,F,B,Stanton Heights,9,2
1999943,14,F,B,Marshall-Shadeland,6,1
1999944,14,M,B,Perry South,6,1
1999945,13,F,B,Mount Oliver,3,3
1999946,15,M,H,Squirrel Hill South,5,3
1999947,17,F,B,Spring Hill-City View,1,1
1999948,17,F,B,Spring Hill-City View,1,1
1999955,43,M,B,Strip District,7,6
1999956,31,F,B,Central Business District,6,6
1999957,36,M,U,Central Business District,6,6
1999958,29,M,W,Troy Hill,1,1
1999959,51,F,B,Shadyside,8,2
1999960,29,F,B,South Side Slopes,3,3
1999961,41,F,B,Highland Park,7,2
1999962,32,F,B,Middle Hill,6,3
1999963,28,F,W,Spring Hill-City View,1,1
1999964,30,M,B,Arlington Heights,3,3
1999965,51,F,B,Bluff,6,3
1999966,18,F,W,Beechview,4,5
1999967,18,M,O,Beechview,4,5
1999968,21,F,B,Lincoln-Lemington-Belmar,9,2
1999969,23,M,B,Lincoln-Lemington-Belmar,9,2
1999970,29,M,W,Spring Garden,1,1
1999971,29,F,B,Homewood North,9,2
1999972,30,F,B,North Shore,1,1
1999973,43,M,W,Bon Air,4,5
1999974,31,M,W,Knoxville,3,5
1999975,48,M,W,Brighton Heights,1,1
1999976,35,M,W,Windgap,2,5
1999977,48,M,W,Mount Washington,2,5
1999978,52,M,W,Mount Washington,2,5
1999979,30,M,B,South Side Slopes,3,3
1999980,35,M,B,Homewood North,9,2
1999981,56,F,W,Hays,5,3
1999982,53,F,W,Hays,5,3
1999983,41,M,B,Allentown,3,5
1999984,38,M,W,Mount Washington,3,5
1999985,34,M,B,Bedford Dwellings,6,3
1999986,21,F,B,Bedford Dwellings,6,3
1999987,25,M,B,Terrace Village,6,3
1999988,19,M,B,South Side Flats,3,3
1999989,24,M,B,Larimer,9,2
1999990,22,F,W,Carrick,4,3
1999991,26,M,B,Highland Park,,
1999992,31,F,W,Bloomfield,7,2
1999993,25,F,B,Carrick,4,3
1999994,57,F,W,Central Business District,6,6
1999995,24,M,B,Crafton Heights,2,5
1999996,27,M,U,Carrick,4,3
1999997,50,M,B,East Hills,9,2
1999998,42,M,W,Squirrel Hill North,8,3
1999999,27,M,B,Brookline,4,5
2000015,54,M,W,Brookline,4,5
2000016,26,M,W,South Side Flats,3,3
2000017,22,M,B,Windgap,2,5
2000018,43,M,W,California-Kirkbride,6,1
2000019,27,M,B,West End,,
2000020,30,M,B,Lincoln-Lemington-Belmar,9,2
2000021,54,M,B,East Liberty,9,2
2000022,18,F,W,Beechview,4,5
2000023,29,M,W,Squirrel Hill North,5,3
2000024,23,M,B,Fineview,3,3
2000025,13,M,B,Perry North,1,1
2000026,13,F,B,Brookline,4,5
2000027,52,M,B,North Oakland,8,3
2000028,18,M,B,Shadyside,8,2
2000029,20,M,B,Shadyside,8,2
2000030,17,M,B,Shadyside,8,2
2000031,40,M,W,Central Business District,6,6
2000032,28,M,B,Homewood North,9,2
2000033,15,F,B,Marshall-Shadeland,1,1
2000034,0,M,B,Perry South,6,1
2000035,17,F,B,Spring Hill-City View,1,1
2000036,18,F,B,Spring Hill-City View,1,1
2000037,59,M,B,Hazelwood,5,3
2000038,60,M,B,Hazelwood,5,3
2000039,34,F,B,Morningside,9,2
2000040,55,M,W,Brookline,4,5
2000041,37,M,W,Overbrook,4,5
2000042,20,M,B,Spring Hill-City View,1,1
2000043,27,F,U,Mount Washington,,
2000044,26,F,U,Mount Washington,,
2000045,20,M,W,South Side Flats,3,3
2000046,48,M,W,Elliott,2,5
2000047,30,M,W,Central Lawrenceville,7,2
2000048,25,F,B,Carrick,4,3
2000049,45,F,B,East Allegheny,1,1
2000050,27,F,B,Allentown,3,5
2000051,52,M,W,Allentown,3,5
2000052,36,F,B,Knoxville,,
2000053,26,M,B,Homewood South,9,2
2000054,20,M,B,Manchester,6,1
2000055,20,M,W,Hazelwood,5,3
2000056,37,M,B,East Hills,9,2
2000057,22,F,B,Homewood North,9,2
2000058,24,M,B,Homewood North,9,2
2000059,33,F,W,Brookline,4,5
2000060,21,M,U,Homewood North,9,2
2000061,28,F,W,Fineview,6,1
2000062,35,M,B,Fineview,6,1
2000063,26,M,B,Fineview,6,1
2000064,20,M,B,North Oakland,8,3
2000065,19,M,B,North Oakland,8,3
2000066,25,F,B,South Side Flats,3,3
2000075,37,M,W,South Side Flats,3,3
2000076,23,M,W,Brighton Heights,1,1
2000077,24,M,B,Central North Side,1,1
2000078,59,M,B,East Liberty,9,2
2000079,52,M,B,Perry North,1,1
2000080,24,M,B,East Liberty,9,2
2000081,33,F,W,Carrick,4,3
2000082,38,M,W,Carrick,4,3
2000083,26,M,B,Crafton Heights,2,5
2000084,40,F,W,Brookline,4,5
2000085,30,M,W,Brighton Heights,1,1
2000086,28,M,B,Middle Hill,6,3
2000087,39,M,B,Fineview,6,1
2000088,49,M,B,Bluff,6,3
2000089,22,M,W,East Allegheny,1,1
2000090,36,F,W,Garfield,9,2
2000091,20,F,B,Central Business District,6,6
2000092,24,F,W,Central Business District,6,6
2000093,36,F,W,South Side Flats,3,3
2000094,27,M,B,Northview Heights,1,1
2000095,53,M,B,Knoxville,3,5
2000096,34,M,W,East Allegheny,1,1
2000097,25,M,B,Garfield,9,2
2000098,50,M,W,Elliott,3,3
2000099,19,F,B,Spring Hill-City View,1,1
2000100,21,M,W,South Side Flats,3,3
2000101,35,M,W,South Side Flats,3,3
2000102,36,F,W,Lincoln Place,5,3
2000103,29,M,W,Carrick,4,3
2000104,61,M,B,Fineview,6,1
2000105,49,M,W,Fineview,6,1
2000106,47,M,W,Allentown,3,5
2000107,37,M,W,Carrick,4,3
2000108,55,M,B,Central Business District,6,6
2000109,29,M,B,Knoxville,3,5
2000110,52,M,W,Carrick,4,3
2000111,25,M,B,Allentown,3,5
2000112,32,M,B,Carrick,4,3
2000113,42,M,W,Brighton Heights,1,1
2000114,27,M,W,South Side Flats,3,3
2000115,24,M,B,Strip District,7,6
2000135,22,F,W,Central Business District,6,6
2000136,27,M,W,Central Business District,6,6
